Package,Version,Priority,Depends,Imports,LinkingTo,Suggests,Enhances,License,License_is_FOSS,License_restricts_use,OS_type,Archs,MD5sum,NeedsCompilation,Additional_repositories,Author,Authors@R,Biarch,BugReports,BuildKeepEmpty,BuildManual,BuildResaveData,BuildVignettes,Built,ByteCompile,Classification/ACM,Classification/ACM-2012,Classification/JEL,Classification/MSC,Classification/MSC-2010,Collate,Collate.unix,Collate.windows,Contact,Copyright,Date,Date/Publication,Description,Encoding,KeepSource,Language,LazyData,LazyDataCompression,LazyLoad,MailingList,Maintainer,Note,Packaged,RdMacros,StagedInstall,SysDataCompression,SystemRequirements,Title,Type,URL,UseLTO,VignetteBuilder,ZipData,Path,X-CRAN-Comment,Published,Reverse depends,Reverse imports,Reverse linking to,Reverse suggests,Reverse enhances,Deadline,DOI
ggdmc,0.2.6.0,NA,R (>= 3.3.0),"Rcpp (>= 0.12.10), coda, stats, utils, ggplot2, matrixStats,
data.table (>= 1.10.4)","Rcpp (>= 0.12.10), RcppArmadillo (>= 0.7.100.3.0)",testthat,NA,GPL-2,NA,NA,NA,NA,ce91a8fad5c02013756125cf771ce358,yes,NA,"Yi-Shin Lin [aut, cre], Andrew Heathcote [aut]",NA,NA,https://github.com/yxlin/ggdmc/issues,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-04-29,2019-04-29 05:10:03 UTC,"Hierarchical Bayesian models. The package provides tools to fit two response time models, using the population-based Markov Chain Monte Carlo. ",UTF-8,NA,NA,TRUE,NA,NA,NA,Yi-Shin Lin <yishinlin001@gmail.com>,NA,2019-04-28 22:51:49 UTC; yslin,NA,NA,NA,NA,Cognitive Models,Package,https://github.com/yxlin/ggdmc,NA,NA,NA,NA,NA,2019-04-29,NA,NA,NA,NA,NA,2025-04-14,10.32614/CRAN.package.ggdmc
ggDoE,0.8,NA,R (>= 3.7.0),"ggplot2 (>= 3.4.0), insight (>= 0.19.5)",NA,"roxygen2, tibble, MASS, viridisLite, ggrepel, patchwork,
unrepx, geomtextpath, rsm, lhs, DoE.base",NA,MIT + file LICENSE,NA,NA,NA,NA,0c75e49d9f259c7f43495bc7d98163ee,no,NA,"Jose Toledo Luna [aut, cre] (<https://orcid.org/0000-0001-8559-0027>)","c(person(given = ""Jose"",family = ""Toledo Luna"",
             role = c(""aut"", ""cre""),
             email = ""toledo60@protonmail.com"",
             comment = c(ORCID = ""0000-0001-8559-0027"")))",NA,https://github.com/toledo60/ggDoE/issues,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024-02-10 04:50:02 UTC,"Generate commonly used plots in the field of design of experiments using 'ggplot2'.
  'ggDoE' currently supports the following plots: alias matrix, box cox transformation, boxplots, lambda plot,
  regression diagnostic plots, half normal plots, main and interaction effect plots for factorial designs,
  contour plots for response surface methodology, Pareto plot, and two dimensional projections of a latin hypercube design.",UTF-8,NA,en-US,true,NA,NA,NA,Jose Toledo Luna <toledo60@protonmail.com>,NA,2024-02-10 01:28:29 UTC; jtoledo,NA,NA,NA,NA,Modern Graphs for Design of Experiments with 'ggplot2',Package,https://ggdoe.netlify.app,NA,NA,NA,NA,NA,2024-02-10,NA,NA,NA,NA,NA,NA,10.32614/CRAN.package.ggDoE
ggDoubleHeat,0.1.2,NA,R (>= 3.5.0),"rlang, grid, ggplot2 (>= 3.0.0), ggnewscale (>= 0.4.5)",NA,"rmarkdown, knitr, dplyr, scales, tidyr",NA,GPL (>= 3),NA,NA,NA,NA,62dfa5552b89535048a07d0d2f2480eb,no,NA,"Youzhi Yu [aut, cre],
  Trent Buskirk [aut, ths]","
    c(person(given = ""Youzhi"",
             family = ""Yu"",
             role = c(""aut"", ""cre""),
             email = ""yuyouzhi666@icloud.com""),
      person(given = ""Trent"",
             family = ""Buskirk"",
             role = c(""aut"", ""ths"")))",NA,https://github.com/PursuitOfDataScience/ggDoubleHeat/issues,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023-08-24 21:00:04 UTC,"A data visualization design that provides comparison between 
    two (Double) data sources (usually on a par with each other) on one 
    reformed heatmap, while inheriting 'ggplot2' features.  ",UTF-8,NA,NA,true,NA,NA,NA,Youzhi Yu <yuyouzhi666@icloud.com>,NA,2023-08-24 20:46:08 UTC; youzhi,NA,NA,NA,NA,A Heatmap-Like Visualization Tool,Package,https://pursuitofdatascience.github.io/ggDoubleHeat/,NA,NA,NA,NA,NA,2023-08-24,NA,NA,NA,NA,NA,NA,10.32614/CRAN.package.ggDoubleHeat
ggeasy,0.1.5,NA,R (>= 3.5.0),"ggplot2, rlang",NA,"knitr, rmarkdown, testthat (>= 2.1.0), clipr, labelled,
patchwork, vdiffr, covr",NA,GPL (>= 2),NA,NA,NA,NA,2c5e910e64e3e662a8d5eba34354c9b7,no,NA,"Jonathan Carroll [aut, cre] (<https://orcid.org/0000-0002-1404-5264>),
  Alicia Schep [aut] (<https://orcid.org/0000-0002-3915-0618>),
  Jonathan Sidi [aut] (<https://orcid.org/0000-0002-4222-1819>),
  Bob Rudis [ctb] (<https://orcid.org/0000-0001-5670-2640>),
  Mohamed El Fodil Ihaddaden [ctb],
  Thomas Neitmann [ctb]","c(
 person(""Jonathan"", ""Carroll"", email = ""rpkg@jcarroll.com.au"", role = c(""aut"", ""cre""), comment = c(ORCID = ""0000-0002-1404-5264"")),
 person(""Alicia"", ""Schep"", email = ""aschep@gmail.com"", role = c(""aut""), comment = c(ORCID = ""0000-0002-3915-0618"")),
 person(""Jonathan"", ""Sidi"", email = ""yonicd@gmail.com"", role = c(""aut""),comment = c(ORCID = ""0000-0002-4222-1819"")),
 person(""Bob"", ""Rudis"", email = ""bob@rud.is"", role = c(""ctb""), comment = c(ORCID = ""0000-0001-5670-2640"")), 
 person(""Mohamed El Fodil"", ""Ihaddaden"", email = ""ihaddaden.fodeil@gmail.com"", role = c(""ctb"")),
 person(""Thomas"", ""Neitmann"", email = ""th.neitmann@gmail.com"", role = c(""ctb""))
 )",NA,https://github.com/jonocarroll/ggeasy/issues,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024-11-03 05:50:02 UTC,"Provides a series of aliases to commonly used but difficult 
    to remember 'ggplot2' sequences.",UTF-8,NA,NA,NA,NA,NA,NA,Jonathan Carroll <rpkg@jcarroll.com.au>,NA,2024-11-03 05:16:02 UTC; jono,NA,NA,NA,NA,Easy Access to 'ggplot2' Commands,NA,"https://github.com/jonocarroll/ggeasy,
https://jonocarroll.github.io/ggeasy/",NA,knitr,NA,NA,NA,2024-11-03,NA,"autostats, FPDclustering, SqueakR",NA,NA,NA,NA,10.32614/CRAN.package.ggeasy
GGEBiplots,0.1.3,NA,R (>= 3.3.1),"ggplot2 (>= 2.2.0), ggforce (>= 0.1.1), scales (>= 0.4.1),
grDevices (>= 3.3.1), stats (>= 3.3.1), grid (>= 3.3.1)",NA,NA,NA,GPL-3,NA,NA,NA,NA,fa1e79e4481c3cbd61fa93c503463652,no,NA,"Sam Dumble [aut, cre],
  Elisa Frutos Bernal [ctb],
  Purificacion Galindo Villardon [ctb]","c(person(""Sam"", ""Dumble"", email = ""s.dumble@stats4sd.org"", role = c(""aut"", ""cre"")),person(""Elisa"", ""Frutos Bernal"", email = ""efb@usal.es"", role = c(""ctb"")),person(""Purificacion"", ""Galindo Villardon"", email = ""pgalindo@usal.es"", role = c(""ctb"")))",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-02-09 16:20:02 UTC,Genotype plus genotype-by-environment (GGE) biplots rendered using 'ggplot2'. Provides a command line interface to all of the functionality contained within the archived package 'GGEBiplotGUI'.,UTF-8,NA,NA,true,NA,NA,NA,Sam Dumble <s.dumble@stats4sd.org>,NA,2022-02-09 11:51:00 UTC; sdumb,NA,NA,NA,NA,GGE Biplots with 'ggplot2',NA,NA,NA,NA,NA,NA,NA,2022-02-09,NA,geneticae,NA,NA,NA,NA,10.32614/CRAN.package.GGEBiplots
ggedit,0.4.1,NA,"R (>= 4.3.0), ggplot2 (>= 3.5.0)","plyr, dplyr, tidyr, purrr, rlang, tibble, scales, rstudioapi,
shiny, miniUI, shinyBS, colourpicker, shinyAce, utils,
graphics, grid, tools, stats",NA,"testthat, covr",NA,MIT + file LICENSE,NA,NA,NA,NA,793819ddbcb705ab9e5792340085a213,no,NA,"Jonathan Sidi [aut, cre]",NA,NA,https://github.com/yonicd/ggedit/issues,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024-02-29,2024-03-04 14:40:02 UTC,Interactively edit 'ggplot2' layer and theme aesthetics definitions.,NA,NA,NA,true,NA,NA,NA,Jonathan Sidi <yonicd@gmail.com>,NA,2024-03-04 14:12:00 UTC; yonis,NA,NA,NA,NA,Interactive 'ggplot2' Layer and Theme Aesthetic Editor,Package,https://github.com/yonicd/ggedit,NA,NA,NA,NA,NA,2024-03-04,NA,"bridger, oceanmap, RchivalTag",NA,NA,NA,NA,10.32614/CRAN.package.ggedit
ggenealogy,1.0.3,NA,R (>= 3.6.0),"ggplot2 (>= 2.2.0), igraph (>= 0.7.1), plyr (>= 1.8.1),
reshape2 (>= 1.4), plotly (>= 4.5.6)",NA,"stringr (>= 0.6.2), knitr (>= 1.13), roxygen2 (>= 3.0.0),
dplyr (>= 0.5.0)",NA,GPL,NA,NA,NA,NA,a2a4174d822e769f0b500b1dca53db79,no,NA,"Lindsay Rutter, Susan Vanderplas, Di Cook",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024-02-21 16:00:02 UTC,Methods for searching through genealogical data and displaying the results. Plotting algorithms assist with data exploration and publication-quality image generation. Includes interactive genealogy visualization tools. Provides parsing and calculation methods for variables in descendant branches of interest. Uses the Grammar of Graphics.,UTF-8,NA,NA,NA,NA,NA,NA,Lindsay Rutter <ggenealogypackage@gmail.com>,NA,2024-02-21 15:39:35 UTC; suzu,NA,NA,NA,NA,Visualization Tools for Genealogical Data,NA,NA,NA,knitr,NA,NA,NA,2024-02-21,NA,NA,NA,maths.genealogy,NA,NA,10.32614/CRAN.package.ggenealogy
ggESDA,0.2.0,NA,"ggplot2, R (>= 3.5.0), tidyverse, RSDA","rlang, R6, dplyr, tidyr, gridExtra, gtools, stringr, prodlim,
ggforce, ggpubr, ggthemes, tibble, magrittr, vctrs",NA,"testthat (>= 2.1.0), knitr, rmarkdown",NA,GPL (>= 2),NA,NA,NA,NA,9d3d9b6c2950e6b4b905e7bbfa73a751,no,NA,Bo-Syue Jiang,NA,NA,https://github.com/kiangkiangkiang/ggESDA/issues,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-08-17,2022-08-19 08:40:10 UTC,Implements an extension of 'ggplot2' and visualizes the symbolic data with multiple plot which can be adjusted by more general and flexible input arguments. It also provides a function to transform the classical data to symbolic data by both clustering algorithm and customized method.,UTF-8,NA,NA,true,NA,NA,NA,Bo-Syue Jiang <lukajiang1998@gmail.com>,NA,2022-08-19 02:13:27 UTC; user,NA,NA,NA,NA,Exploratory Symbolic Data Analysis with 'ggplot2',Package,https://github.com/kiangkiangkiang/ggESDA,NA,knitr,NA,NA,NA,2022-08-19,NA,NA,NA,NA,NA,NA,10.32614/CRAN.package.ggESDA
ggetho,0.3.7,NA,"R (>= 3.00), ggplot2, behavr","data.table, stringr, scales, labeling, rlang, cli",NA,"testthat, covr, knitr, zeitgebr",NA,GPL-3,NA,NA,NA,NA,f5d7f2aea7c2307d72b206dab317cb12,no,NA,"Quentin Geissmann [aut, cre]","c(
    person(""Quentin"", ""Geissmann"", role = c(""aut"", ""cre""), email = ""qgeissmann@gmail.com"")
    )",NA,https://github.com/rethomics/ggetho/issues,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-11-17,2022-11-24 09:40:08 UTC,"Extension of 'ggplot2' providing layers, scales and preprocessing functions
    useful to represent behavioural variables that are recorded over multiple animals and days.
    This package is part of the 'rethomics' framework <https://rethomics.github.io/>.",UTF-8,NA,NA,NA,NA,NA,NA,Quentin Geissmann <qgeissmann@gmail.com>,NA,2022-11-24 09:31:16 UTC; quentin,NA,NA,NA,NA,"Visualisation of High-Throughput Behavioural (i.e. Ethomics)
Data",NA,https://github.com/rethomics/ggetho,NA,NA,NA,NA,NA,2022-11-24,NA,NA,NA,"damr, scopr, zeitgebr",NA,NA,10.32614/CRAN.package.ggetho
ggExtra,0.10.1,NA,R (>= 3.1.0),"colourpicker (>= 1.0), ggplot2 (>= 2.2.0), grDevices, grid (>=
3.1.3), gtable (>= 0.2.0), miniUI (>= 0.1.1), scales (>=
0.2.0), shiny (>= 0.13.0), shinyjs (>= 0.5.2), utils, R6",NA,"knitr (>= 1.7), rmarkdown, rstudioapi (>= 0.5), testthat,
vdiffr, fontquiver, svglite, withr, devtools",NA,MIT + file LICENSE,NA,NA,NA,NA,831b5f3748fe1a3cce93491adfe844f9,no,NA,"Dean Attali [aut, cre],
  Christopher Baker [aut]","c(
    person(""Dean"", ""Attali"", , ""daattali@gmail.com"", role = c(""aut"", ""cre"")),
    person(""Christopher"", ""Baker"", , ""chriscrewbaker@gmail.com"", role = ""aut"")
    )",NA,https://github.com/daattali/ggExtra/issues,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023-08-21 14:40:02 UTC,"Collection of functions and layers to enhance 'ggplot2'. The 
    flagship function is 'ggMarginal()', which can be used to add marginal
    histograms/boxplots/density plots to 'ggplot2' scatterplots.",NA,NA,NA,NA,NA,NA,NA,Dean Attali <daattali@gmail.com>,NA,2023-08-20 01:42:17 UTC; Dean-X1C,NA,NA,NA,pandoc with https support,"Add Marginal Histograms to 'ggplot2', and More 'ggplot2'
Enhancements",NA,"https://github.com/daattali/ggExtra,
https://daattali.com/shiny/ggExtra-ggMarginal-demo/",NA,knitr,NA,NA,NA,2023-08-21,NA,"bamdit, BASiCS, bayefdr, calibmsm, covalchemy, dextergui, DiscoRhythm, jarbes, MSstatsQC, MSstatsQCgui, ofpetrial, qacBase, qad, reliabilitydiag, ribosomeProfilingQC, SCVA, SHAPforxgboost, SHELF, spotoroo, teal.modules.general, viscomp",NA,"BlandAltmanLeh, ClustImpute, DataVisualizations, ddpcr, faux, heumilkr, inferCSN, relliptical, rmcorr, ScatterDensity, SCpubr, sensitivity, shidashi, simaerep, Sofi",NA,NA,10.32614/CRAN.package.ggExtra
ggfacto,0.3.2,NA,NA,"FactoMineR (>= 2.0.0), ggiraph (>= 0.8.2), ggplot2 (>= 3.0.0),
dplyr (>= 1.0.0), forcats (>= 0.5.0), purrr (>= 0.3.0), rlang
(>= 0.4.0), stringr (>= 1.4.0), tibble (>= 3.0.0), tidyr (>=
1.0.0), tidyselect (>= 1.1.0), vctrs (>= 0.3.0), ggrepel (>=
0.9.0), gridExtra (>= 2.0), tabxplor (>= 1.1.0), withr (>=
2.0.0), magrittr (>= 1.5.0), data.table (>= 1.12.0), ggforce
(>= 0.4.0)",NA,"widgetframe (>= 0.3.0), htmlwidgets (>= 1.4.0), finalfit (>=
1.0.0), kableExtra (>= 1.3.0), plotly (>= 4.1.0), stats (>=
4.0.0), grDevices (>= 4.0.0), stringi (>= 1.4.6), scales (>=
1.1.0)",NA,GPL (>= 3),NA,NA,NA,NA,4147fbd7444bcb1681c1466258fbed94,no,NA,"Brice Nocenti [aut, cre]","
    person(given = ""Brice"",
           family = ""Nocenti"",
           role = c(""aut"", ""cre""),
           email = ""brice.nocenti@gmail.com"")",NA,https://github.com/BriceNocenti/ggfacto/issues,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024-10-02 18:30:16 UTC,"Readable, complete and pretty graphs for correspondence analysis made 
    with 'FactoMineR'. They can be rendered as interactive 'HTML' plots, showing useful
    informations at mouse hover. The interest is not mainly visual but statistical:
    it helps the reader to keep in mind the data contained in the cross-table or Burt
    table while reading the correspondence analysis, thus preventing over-interpretation.
    Most graphs are made with 'ggplot2', which means that you can use the + syntax to 
    manually add as many graphical pieces you want, or change theme elements. 3D 
    graphs are made with 'plotly'.",UTF-8,NA,NA,NA,NA,NA,NA,Brice Nocenti <brice.nocenti@gmail.com>,NA,2024-10-02 18:12:21 UTC; Brice,NA,NA,NA,NA,Graphs for Correspondence Analysis,NA,https://github.com/BriceNocenti/ggfacto,NA,NA,NA,NA,NA,2024-10-02,NA,NA,NA,NA,NA,NA,10.32614/CRAN.package.ggfacto
ggfields,0.0.6,NA,R (>= 4.1.0),"dplyr (>= 1.1.4), ggplot2 (>= 3.4.4), grid (>= 4.1.0), rlang
(>= 1.1.2), sf (>= 1.0-15), scales (>= 1.3.0)",NA,"CopernicusMarine, knitr, rmarkdown, stars (>= 0.6-4),
testthat (>= 3.0.0), vdiffr (>= 1.0.7), svglite (>= 2.1.3)",NA,GPL (>= 3),NA,NA,NA,NA,e95ca8e0dc60b1144f9d7c44da03801c,no,NA,"Pepijn de Vries [aut, cre] (<https://orcid.org/0000-0002-7961-6646>)","c(person(""Pepijn"", ""de Vries"", role = c(""aut"", ""cre""),
    email = ""pepijn.devries@outlook.com"",
    comment = c(ORCID = ""0000-0002-7961-6646"")))",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"'angle_correction.r' 'helpers.r' 'stat_fields.r'
'draw_key_fields.r' 'geom_fields.r' 'annotation_fields.r'
'data.r' 'ggfields-package.r' 'import.r' 'pythagoras.r'
'scale.r'",NA,NA,NA,NA,2024-02-26,2024-02-26 14:40:03 UTC,"Add vector field layers to ggplots. Ideal for visualising
    wind speeds, water currents, electric/magnetic fields, etc.
    Accepts data.frames, simple features (sf), and spatiotemporal arrays (stars)
    objects as input. Vector fields are depicted as arrows starting at specified
    locations, and with specified angles and radii.",UTF-8,NA,NA,true,NA,NA,NA,Pepijn de Vries <pepijn.devries@outlook.com>,NA,2024-02-26 08:46:06 UTC; vries171,NA,NA,NA,NA,Add Vector Field Layers to Ggplots,NA,"https://pepijn-devries.github.io/ggfields/,
https://github.com/pepijn-devries/ggfields/",NA,knitr,NA,NA,NA,2024-02-26,NA,NA,NA,NA,NA,NA,10.32614/CRAN.package.ggfields
ggfigdone,0.1.2,NA,R (>= 4.0.0),"ggplot2, httpuv, httr, readr, jsonlite, uuid, filelock,
data.table",NA,"testthat (>= 3.0.0), knitr",NA,GPL-3,NA,NA,NA,NA,afc8bd1be4cf0a04301df2173b4b1fa1,no,NA,"Wenjie SUN [aut, cre] (<https://orcid.org/0000-0002-3100-2346>)","
    person(""Wenjie"", ""SUN"", , ""sunwjie@gmail.com"", role = c(""aut"", ""cre""),
           comment = c(ORCID = ""0000-0002-3100-2346""))",NA,https://github.com/wenjie1991/ggfigdone/issues,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024-09-10 10:00:10 UTC,"When you prepare a presentation or a report, you often need to manage a large number of 'ggplot' figures. You need to change the figure size, modify the title, label, themes, etc. It is inconvenient to go back to the original code to make these changes. This package provides a simple way to manage 'ggplot' figures. You can easily add the figure to the database and update them later using CLI (command line interface) or GUI (graphical user interface).",UTF-8,NA,NA,NA,NA,NA,NA,Wenjie SUN <sunwjie@gmail.com>,NA,2024-09-06 12:52:17 UTC; wsun,NA,NA,NA,NA,Manage & Modify 'ggplot' Figures using 'ggfigdone',NA,NA,NA,NA,NA,NA,NA,2024-09-10,NA,NA,NA,NA,NA,NA,10.32614/CRAN.package.ggfigdone
ggFishPlots,0.3.0,NA,"R (>= 3.5.0), ggplot2","dplyr, tibble, tidyr, ggridges, fishmethods, broom, rlang,
tidyselect, magrittr, ggrepel, scales, purrr",NA,"knitr, rmarkdown",NA,GPL-3,NA,NA,NA,NA,d5f97c78fe43e84f746f2dfd0a7ad64b,no,NA,"Mikko Vihtakari [aut, cre] (Institute of Marine Research,
    <https://orcid.org/0000-0003-0371-4319>)","c(person(""Mikko"", ""Vihtakari"", email = ""mikko.vihtakari@hi.no"",
                  role = c(""aut"", ""cre""), 
                  comment = c(affiliation = ""Institute of Marine Research"", 
                  ORCID = ""0000-0003-0371-4319""))
            )",NA,https://github.com/DeepWaterIMR/ggFishPlots/issues,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024-06-26,2024-06-26 10:20:02 UTC,"Contains functions to create life history parameter plots from raw data. 
	The plots are created using 'ggplot2', and calculations done using the 'tidyverse'
	collection of packages. The package contains references to FishBase 
	(Froese R., Pauly D., 2023) <https://www.fishbase.se/>.",UTF-8,NA,NA,NA,NA,NA,NA,Mikko Vihtakari <mikko.vihtakari@hi.no>,NA,2024-06-26 09:48:30 UTC; a22357,NA,NA,NA,NA,"Visualise and Calculate Life History Parameters for Fisheries
Science using 'ggplot2'",Package,https://deepwaterimr.github.io/ggFishPlots/,NA,NA,NA,NA,NA,2024-06-26,NA,NA,NA,NA,NA,NA,10.32614/CRAN.package.ggFishPlots
ggfittext,0.10.2,NA,R (>= 3.6),"grid (>= 3.1), stringi (>= 1.1.2), shades (>= 1.3.1), gridtext
(>= 0.1.4), ggplot2 (>= 2.2.1), cli (>= 3.6.1)",NA,"knitr, rmarkdown, testthat (>= 3.0.0), vdiffr, spelling",NA,GPL-2,NA,NA,NA,NA,1a004ab4a3be0fbd117491188fa467f2,no,NA,"David Wilkins [aut, cre],
  Brady Johnston [ctb]","c(person(""David"", ""Wilkins"", email = ""david@wilkox.org"",
                  role = c(""aut"", ""cre"")), 
             person(""Brady"", ""Johnston"", email = ""brady.johnston@me.com"", 
                  role = c(""ctb""))
             )",NA,https://github.com/wilkox/ggfittext/issues/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024-02-01 00:50:02 UTC,"A 'ggplot2' extension to fit text into a box by growing, shrinking or wrapping the text.",UTF-8,NA,en-GB,true,NA,NA,NA,David Wilkins <david@wilkox.org>,NA,2024-02-01 00:21:27 UTC; wilkox,NA,NA,NA,NA,Fit Text Inside a Box in 'ggplot2',NA,https://wilkox.org/ggfittext/,NA,knitr,NA,NA,NA,2024-02-01,NA,"breathtestcore, deeptime, gggenes, inspectdf, metabolic, metacoder, plothelper, pvLRT, ribosomeProfilingQC, rnmamod, shapviz, sportyR, STMr, time.slots, treemapify, worrrd",NA,"ggalluvial, MiscMetabar, nuts, sigminer",NA,NA,10.32614/CRAN.package.ggfittext
ggfixest,0.2.0,NA,"ggplot2 (>= 2.2.0), fixest (>= 0.11.2)","dreamerr, scales, marginaleffects (>= 0.10.0), stats, utils,
legendry (>= 0.2)",NA,"knitr, rmarkdown, tinytest (>= 1.4.1), tinysnapshot (>=
0.0.3), magick, rsvg, svglite, fontquiver, data.table",NA,GPL-3,NA,NA,NA,NA,c045c0ea20f10de60aed9847c8c194d5,no,NA,"Grant McDermott [aut, cre] (<https://orcid.org/0000-0001-7883-8573>),
  Laurent Berge [ctb],
  Teun van den Brand [ctb] (<https://orcid.org/0000-0002-9335-7468>)","c(
    person(
        given   = ""Grant"",
        family  = ""McDermott"",
        role    = c(""aut"", ""cre""),
        email   = ""gmcd@amazon.com"",
        comment = c(ORCID = ""0000-0001-7883-8573"")
    ),
    person(
        given   = ""Laurent"",
        family  = ""Berge"",
        role    = ""ctb"",
        email   = ""laurent.berge@u-bordeaux.fr""
    ),
    person(
        given   = ""Teun"",
        family  = ""van den Brand"",
        role    = ""ctb"",
        comment = c(ORCID = ""0000-0002-9335-7468"")
    )
	)",NA,https://github.com/grantmcdermott/ggfixest/issues,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-01-21,2025-01-22 01:00:02 UTC,"Provides 'ggplot2' equivalents of fixest::coefplot() and fixest::iplot(),
    for producing nice coefficient plots and interaction plots. Enables some
    additional functionality and convenience features, including grouped
    multi-'fixest' object faceting and programmatic updates to existing plots
    (e.g., themes and aesthetics).",UTF-8,NA,NA,NA,NA,NA,NA,Grant McDermott <gmcd@amazon.com>,NA,2025-01-22 00:42:17 UTC; gmcd,NA,NA,NA,NA,Dedicated 'ggplot2' Methods for 'fixest' Objects,NA,https://grantmcdermott.com/ggfixest/,NA,knitr,NA,NA,NA,2025-01-22,NA,NA,NA,NA,NA,NA,10.32614/CRAN.package.ggfixest
ggflowchart,1.0.0,NA,R (>= 3.6),"dplyr, igraph, ggplot2, rlang, tibble, tidyr",NA,"knitr, rcartocolor, rmarkdown",NA,MIT + file LICENSE,NA,NA,NA,NA,d7581800de67946e2a3578f0da2e9271,no,NA,"Nicola Rennie [aut, cre, cph]","
    person(given = ""Nicola"",
           family = ""Rennie"",
           role = c(""aut"", ""cre"", ""cph""),
           email = ""nrennie35@gmail.com"")",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023-05-11 10:10:05 UTC,"Flowcharts can be a useful way to visualise complex processes. This package 
    uses the layered grammar of graphics of 'ggplot2' to create simple flowcharts.",UTF-8,NA,NA,NA,NA,NA,NA,Nicola Rennie <nrennie35@gmail.com>,NA,2023-05-11 09:01:25 UTC; nrenn,NA,NA,NA,NA,Flowcharts with 'ggplot2',NA,https://nrennie.github.io/ggflowchart/,NA,knitr,NA,NA,NA,2023-05-11,NA,NA,NA,NA,NA,NA,10.32614/CRAN.package.ggflowchart
ggfocus,1.0.0,NA,ggplot2,"magrittr, dplyr, rlang, RColorBrewer",NA,"knitr, rmarkdown, maps, ggrepel",NA,GPL-3,NA,NA,NA,NA,82318000cf24087298351ddf45cda499,no,NA,"Victor Freguglia [aut, cre]","person(""Victor"", ""Freguglia"", email = ""victorfreguglia@gmail.com"",
                  role = c(""aut"", ""cre""))",NA,https://github.com/Freguglia/ggfocus/issues,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2020-01-23 13:20:02 UTC,"A 'ggplot2' extension that provides tools for automatically
    creating scales to focus on subgroups of the data plotted 
    without losing other information.",UTF-8,NA,NA,true,NA,NA,NA,Victor Freguglia <victorfreguglia@gmail.com>,NA,2020-01-22 19:00:47 UTC; victor,NA,NA,NA,NA,Scales that Focus Specific Levels in your ggplot(),Package,https://github.com/Freguglia/ggfocus,NA,knitr,NA,NA,NA,2020-01-23,NA,NA,NA,NA,NA,NA,10.32614/CRAN.package.ggfocus
